Generated 30 entries:

name,age,zip_code,salary,medical_risk

Angela Norris,39,18620,55575,High
Dana Johnson,60,17680,116942,Medium
Randall Green,74,07888,128786,High
Dr. Nichole Ashley DDS,68,14455,65097,Low
Joseph Jefferson,48,92790,146292,Medium
Krista Riley,23,65972,101803,Medium
Karen Delgado,38,48832,44116,Medium
Crystal Kline,54,47775,157220,High
Kenneth Alexander,74,48782,156357,Low
Ian White,29,91632,88151,High
Taylor Gill,66,72490,101718,Medium
Benjamin Lowe,57,48729,105700,Medium
James Hurst,47,45683,113228,Low
Andrea Brown,63,22139,128394,Low
Dennis Johnson,45,93460,84151,High
Andrew Thomas,73,17178,49249,Low
Justin Pearson,64,50349,114639,High
Ricky Ramirez,61,11808,44755,Low
Diane Carpenter,26,08957,80032,High
Nicholas Crawford,23,97073,43052,Low
Sylvia Casey,56,94926,104487,Medium
Susan Campbell,70,74483,62714,High
Kerry Thompson,67,65385,87113,Medium
Theresa Johnson,50,94530,97418,High
Tonya Olson,74,97488,52025,Medium
Gary Turner,32,25613,146349,Low
Jeffrey Lewis,32,23835,154905,High
Scott Stevenson,37,64845,142906,Medium
Rebecca Barton,64,78454,143185,High
Donna Sanders,54,47892,46123,High
