name,age,zip_code,salary,medical_risk
Linda Klein,70,41796,93089,Medium
Timothy Klein,50,19584,112507,High
Danielle White,46,16048,127739,Medium
Larry Heath,44,91141,109908,High
Richard Norman,27,98401,159172,Medium
Sara Lane,67,18156,102410,Low
Leslie Mcdaniel,26,51797,43025,Low
Anna Gomez,30,93617,146816,Medium
Carol Silva,54,34117,105831,Medium
Kenneth Chambers,44,64637,40846,Low
Jeffrey Gomez,49,51838,49445,Medium
Christopher Phillips,45,67650,96180,High
Andrew Ward,59,28799,148936,Low
Jose Diaz,23,88410,56107,Medium
Melissa Fischer,31,65692,99061,Medium
Amy Gibson,62,68197,70907,Medium
Erin Knight,35,75570,142695,High
Jason Wood,57,64685,59675,Low
Brian Everett,67,19927,85397,High
Tony Weber,48,60132,75083,Low
Corey Brown,60,11284,154246,Low
Susan Cooper,31,47995,132998,High
Zachary Jones,74,57399,89953,High
Emily Miller,38,53309,83365,High
Loretta Soto,44,89370,71724,High
Emily Mills,56,01115,46154,Medium
Tamara Cook,59,10506,87508,Low
Kimberly Johnson,62,20743,54770,Medium
Michele Orozco,29,86211,57858,Low
Dana Gill,51,72540,91271,Medium
