name,age,zip_code,salary,medical_risk
Jeffrey Ross DVM,19,33975,70322,High
Stephanie Roberts,34,10971,111415,High
Chad Hoffman,47,12267,39614,High
Roger Kelly,81,61406,49125,Medium
Brittany Dominguez DDS,41,16821,84341,High
Mathew Logan,62,52886,75275,Low
Marcus Watts,26,28460,85077,High
Whitney Wall,70,38258,54024,Low
Brittany Archer,64,68133,130529,Medium
Daniel Oliver,65,08981,122467,High
Edward Foster,53,18108,70653,Medium
Michael Phillips MD,27,71528,90303,High
Jason Lee,74,05947,131356,Medium
Michael Morales,77,48705,42406,Medium
Rebecca Brown,78,98813,123308,Low
Shaun Mora,81,31908,72148,Low
Sheryl Simon,74,05904,72197,High
Amy Davis,66,05591,78636,Low
Sarah Decker,52,25781,123387,Low
Kevin Lloyd,81,67802,137668,Medium
Mrs. Chelsea Warren PhD,84,62788,46742,High
Lauren Johnson,45,65558,93042,Medium
Brenda Taylor,68,30158,143027,High
Thomas Scott,41,44079,49445,Medium
April Cooper,54,83213,56558,High
