name,age,zip_code,salary,medical_risk
Jeffrey Ross DVM,19,33975,54024,High
Stephanie Roberts,34,10971,131356,High
Chad Hoffman,47,12267,42406,High
Roger Kelly,81,61406,85077,Medium
Brittany Dominguez DDS,41,16821,93042,High
Mathew Logan,62,52886,78636,Low
Marcus Watts,26,28460,70653,High
Whitney Wall,70,38258,49445,Low
Brittany Archer,64,68133,72148,Medium
Daniel Oliver,65,8981,70322,High
Edward Foster,53,18108,111415,Medium
Michael Phillips MD,27,71528,56558,High
Jason Lee,74,5947,49125,Medium
Michael Morales,77,48705,123387,Medium
Rebecca Brown,78,98813,46742,Low
Shaun Mora,81,31908,122467,Low
Sheryl Simon,74,5904,90303,High
Amy Davis,66,5591,72197,Low
Sarah Decker,52,25781,137668,Low
Kevin Lloyd,81,67802,39614,Medium
Mrs. Chelsea Warren PhD,84,62788,130529,High
Lauren Johnson,45,65558,143027,Medium
Brenda Taylor,68,30158,123308,High
Thomas Scott,41,44079,75275,Medium
April Cooper,54,83213,84341,High
