name,age,zip_code,salary,medical_risk
Gregory Johnson,66,53336,103200,High
Darrell Davis,84,09744,133527,High
Mrs. Cheryl Saunders,57,19325,63220,Medium
Michael Gomez,76,27469,131015,Medium
Leslie Stevenson,39,90093,144373,High
Kathryn Ellis,74,36979,136921,Low
Susan Herman,22,41161,86657,Medium
Ashley Brown,77,63719,63856,High
Dustin Mueller,39,46933,100380,Medium
April Zimmerman,55,47228,86121,Low
Holly Brown,41,70651,75090,Low
Jasmine Shaw,78,80088,130058,High
Dr. Kristi Vazquez,61,92274,88611,Medium
Courtney Malone,29,57662,61727,High
Holly Martin,66,81500,85943,High
Mrs. Crystal Blackwell DVM,28,75835,114623,High
Carol Tapia,57,26223,42245,High
Ashley Jacobs,82,74459,39661,High
Ann Frederick,70,06557,80020,High
Jennifer Frey,71,78666,38733,Medium
Emily Lee,73,93655,118726,High
Christopher Garcia,76,17234,97427,High
Hannah Blair,59,56347,81220,High
Mitchell Wolfe,49,58601,121423,High
Mr. Jeremy Reed,36,10376,87210,Medium
